,expanded_query,title,abstract,expanded_score,feedback_adjusted_score,cosine_similarity,source_query,overlap_count
How can reinforcement learning improve autonomous vehicle navigation?,"How can reinforcement learning improve autonomous vehicle navigation? - machine learning
- deep learning
- computer vision
- sensor fusion
- decision-making
- optimization
- safety constraints
- real-time control
- simulation
- edge computing","Reinforcement Learning Based Safe Decision Making for Highway Autonomous
  Driving","  In this paper, we develop a safe decision-making method for self-driving cars
in a multi-lane, single-agent setting. The proposed approach utilizes deep
reinforcement learning (RL) to achieve a high-level policy for safe tactical
decision-making. We address two major challenges that arise solely in
autonomous navigation. First, the proposed algorithm ensures that collisions
never happen, and therefore accelerate the learning process. Second, the
proposed algorithm takes into account the unobservable states in the
environment. These states appear mainly due to the unpredictable behavior of
other agents, such as cars, and pedestrians, and make the Markov Decision
Process (MDP) problematic when dealing with autonomous navigation. Simulations
from a well-known self-driving car simulator demonstrate the applicability of
the proposed method
",,9.333333333,0.68416333,feedback_adjusted,
What methods exist for detecting outliers in financial time series?,"What methods exist for detecting outliers in financial time series? - Anomaly detection
- Statistical techniques
- Machine learning algorithms
- Data preprocessing
- Outlier detection methods",Outliers in dynamic factor models,"  Dynamic factor models have a wide range of applications in econometrics and
applied economics. The basic motivation resides in their capability of reducing
a large set of time series to only few indicators (factors). If the number of
time series is large compared to the available number of observations then most
information may be conveyed to the factors. This way low dimension models may
be estimated for explaining and forecasting one or more time series of
interest. It is desirable that outlier free time series be available for
estimation. In practice, outlying observations are likely to arise at unknown
dates due, for instance, to external unusual events or gross data entry errors.
Several methods for outlier detection in time series are available. Most
methods, however, apply to univariate time series while even methods designed
for handling the multivariate framework do not include dynamic factor models
explicitly. A method for discovering outliers occurrences in a dynamic factor
model is introduced that is based on linear transforms of the observed data.
Some strategies to separate outliers that add to the model and outliers within
the common component are discussed. Applications to simulated and real data
sets are presented to check the effectiveness of the proposed method.
",8.666666667,8.666666667,0.67511964,overlap,
What methods exist for detecting outliers in financial time series?,"What methods exist for detecting outliers in financial time series? - Anomaly detection
- Statistical methods
- Machine learning techniques
- Time series analysis
- Data preprocessing techniques","Machine learning based forecasting of significant daily returns in
  foreign exchange markets","  Asset value forecasting has always attracted an enormous amount of interest
among researchers in quantitative analysis. The advent of modern machine
learning models has introduced new tools to tackle this classical problem. In
this paper, we apply machine learning algorithms to hitherto unexplored
question of forecasting instances of significant fluctuations in currency
exchange rates. We perform analysis of nine modern machine learning algorithms
using data on four major currency pairs over a 10 year period. A key
contribution is the novel use of outlier detection methods for this purpose.
Numerical experiments show that outlier detection methods substantially
outperform traditional machine learning and finance techniques. In addition, we
show that a recently proposed new outlier detection method PKDE produces best
overall results. Our findings hold across different currency pairs,
significance levels, and time horizons indicating the robustness of the
proposed method.
",8.333333333,8.666666667,0.6568352,overlap,
What methods exist for detecting outliers in financial time series?,"What methods exist for detecting outliers in financial time series? - Anomaly detection
- Outlier detection techniques
- Statistical techniques for detecting anomalies
- Machine learning for outlier detection
- Time series analysis techniques",A review on outlier/anomaly detection in time series data,"  Recent advances in technology have brought major breakthroughs in data
collection, enabling a large amount of data to be gathered over time and thus
generating time series. Mining this data has become an important task for
researchers and practitioners in the past few years, including the detection of
outliers or anomalies that may represent errors or events of interest. This
review aims to provide a structured and comprehensive state-of-the-art on
outlier detection techniques in the context of time series. To this end, a
taxonomy is presented based on the main aspects that characterize an outlier
detection technique.
",9,8.666666667,0.7724327,overlap,
What methods exist for detecting outliers in financial time series?,"What methods exist for detecting outliers in financial time series? - Anomaly detection
- Time series analysis
- Statistical methods
- Machine learning algorithms
- Data preprocessing",Feedforward Neural Network for Time Series Anomaly Detection,"  Time series anomaly detection is usually formulated as finding outlier data
points relative to some usual data, which is also an important problem in
industry and academia. To ensure systems working stably, internet companies,
banks and other companies need to monitor time series, which is called KPI (Key
Performance Indicators), such as CPU used, number of orders, number of online
users and so on. However, millions of time series have several shapes (e.g.
seasonal KPIs, KPIs of timed tasks and KPIs of CPU used), so that it is very
difficult to use a simple statistical model to detect anomaly for all kinds of
time series. Although some anomaly detectors have developed many years and some
supervised models are also available in this field, we find many methods have
their own disadvantages. In this paper, we present our system, which is based
on deep feedforward neural network and detect anomaly points of time series.
The main difference between our system and other systems based on supervised
models is that we do not need feature engineering of time series to train deep
feedforward neural network in our system, which is essentially an end-to-end
system.
",6.666666667,,0.634165,expanded,
What methods exist for detecting outliers in financial time series?,"What methods exist for detecting outliers in financial time series? - Anomaly detection
- Statistical techniques
- Machine learning algorithms
- Data preprocessing
- Time series analysis
- Robust statistics
- Outlier identification","How to find a unicorn: a novel model-free, unsupervised anomaly
  detection method for time series","  Recognition of anomalous events is a challenging but critical task in many
scientific and industrial fields, especially when the properties of anomalies
are unknown. In this paper, we introduce a new anomaly concept called ""unicorn""
or unique event and present a new, model-free, unsupervised detection algorithm
to detect unicorns. The key component of the new algorithm is the Temporal
Outlier Factor (TOF) to measure the uniqueness of events in continuous data
sets from dynamic systems. The concept of unique events differs significantly
from traditional outliers in many aspects: while repetitive outliers are no
longer unique events, a unique event is not necessarily an outlier; it does not
necessarily fall out from the distribution of normal activity. The performance
of our algorithm was examined in recognizing unique events on different types
of simulated data sets with anomalies and it was compared with the Local
Outlier Factor (LOF) and discord discovery algorithms. TOF had superior
performance compared to LOF and discord algorithms even in recognizing
traditional outliers and it also recognized unique events that those did not.
The benefits of the unicorn concept and the new detection method were
illustrated by example data sets from very different scientific fields. Our
algorithm successfully recognized unique events in those cases where they were
already known such as the gravitational waves of a binary black hole merger on
LIGO detector data and the signs of respiratory failure on ECG data series.
Furthermore, unique events were found on the LIBOR data set of the last 30
years.
",6.333333333,,0.54704696,expanded,
What methods exist for detecting outliers in financial time series?,"What methods exist for detecting outliers in financial time series? - Anomaly detection
- Statistical methods
- Machine learning
- Time series analysis
- Data preprocessing","Outliagnostics: Visualizing Temporal Discrepancy in Outlying Signatures
  of Data Entries","  This paper presents an approach to analyzing two-dimensional temporal
datasets focusing on identifying observations that are significant in
calculating the outliers of a scatterplot. We also propose a prototype, called
Outliagnostics, to guide users when interactively exploring abnormalities in
large time series. Instead of focusing on detecting outliers at each time
point, we monitor and display the discrepant temporal signatures of each data
entry concerning the overall distributions. Our prototype is designed to handle
these tasks in parallel to improve performance. To highlight the benefits and
performance of our approach, we illustrate and validate the use of
Outliagnostics on real-world datasets of various sizes in different parallelism
configurations. This work also discusses how to extend these ideas to handle
time series with a higher number of dimensions and provides a prototype for
this type of datasets.
",,6.666666667,0.6322887,feedback_adjusted,
What methods exist for detecting outliers in financial time series?,"What methods exist for detecting outliers in financial time series? - Anomaly detection
- Statistical methods
- Machine learning algorithms
- Time series analysis
- Quantitative finance
- Data preprocessing
- Neural networks",A Review of Open Source Software Tools for Time Series Analysis,"  Time series data is used in a wide range of real world applications. In a
variety of domains , detailed analysis of time series data (via Forecasting and
Anomaly Detection) leads to a better understanding of how events associated
with a specific time instance behave. Time Series Analysis (TSA) is commonly
performed with plots and traditional models. Machine Learning (ML) approaches ,
on the other hand , have seen an increase in the state of the art for
Forecasting and Anomaly Detection because they provide comparable results when
time and data constraints are met. A number of time series toolboxes are
available that offer rich interfaces to specific model classes (ARIMA/filters ,
neural networks) or framework interfaces to isolated time series modelling
tasks (forecasting , feature extraction , annotation , classification).
Nonetheless , open source machine learning capabilities for time series remain
limited , and existing libraries are frequently incompatible with one another.
The goal of this paper is to provide a concise and user friendly overview of
the most important open source tools for time series analysis. This article
examines two related toolboxes (1) forecasting and (2) anomaly detection. This
paper describes a typical Time Series Analysis (TSA) framework with an
architecture and lists the main features of TSA framework. The tools are
categorized based on the criteria of analysis tasks completed , data
preparation methods employed , and evaluation methods for results generated.
This paper presents quantitative analysis and discusses the current state of
actively developed open source Time Series Analysis frameworks. Overall , this
article considered 60 time series analysis tools , and 32 of which provided
forecasting modules , and 21 packages included anomaly detection.
",,5.666666667,0.5484321,feedback_adjusted,
What are recent innovations in synthetic data generation for NLP?,"What are recent innovations in synthetic data generation for NLP? - Transfer learning
- Generative adversarial networks (GANs)
- Transformer models
- Synthetic data augmentation
- Language model pretraining
- Data augmentation techniques","Generative AI for Synthetic Data Generation: Methods, Challenges and the
  Future","  The recent surge in research focused on generating synthetic data from large
language models (LLMs), especially for scenarios with limited data
availability, marks a notable shift in Generative Artificial Intelligence (AI).
Their ability to perform comparably to real-world data positions this approach
as a compelling solution to low-resource challenges. This paper delves into
advanced technologies that leverage these gigantic LLMs for the generation of
task-specific training data. We outline methodologies, evaluation techniques,
and practical applications, discuss the current limitations, and suggest
potential pathways for future research.
",8.666666667,8.666666667,0.65776056,overlap,
What are recent innovations in synthetic data generation for NLP?,"What are recent innovations in synthetic data generation for NLP? - Differential privacy
- Generative models
- Data augmentation techniques
- Transfer learning
- Unsupervised learning","On LLMs-Driven Synthetic Data Generation, Curation, and Evaluation: A
  Survey","  Within the evolving landscape of deep learning, the dilemma of data quantity
and quality has been a long-standing problem. The recent advent of Large
Language Models (LLMs) offers a data-centric solution to alleviate the
limitations of real-world data with synthetic data generation. However, current
investigations into this field lack a unified framework and mostly stay on the
surface. Therefore, this paper provides an organization of relevant studies
based on a generic workflow of synthetic data generation. By doing so, we
highlight the gaps within existing research and outline prospective avenues for
future study. This work aims to shepherd the academic and industrial
communities towards deeper, more methodical inquiries into the capabilities and
applications of LLMs-driven synthetic data generation.
",8,8.666666667,0.7276604,overlap,
What are recent innovations in synthetic data generation for NLP?,"What are recent innovations in synthetic data generation for NLP? - Neural networks
- Transformer models
- Data augmentation
- Language modeling
- Generative adversarial networks (GANs)
- Privacy preservation
- Data synthesis techniques
- Benchmark datasets",Does Synthetic Data Make Large Language Models More Efficient?,"  Natural Language Processing (NLP) has undergone transformative changes with
the advent of deep learning methodologies. One challenge persistently
confronting researchers is the scarcity of high-quality, annotated datasets
that drive these models. This paper explores the nuances of synthetic data
generation in NLP, with a focal point on template-based question generation. By
assessing its advantages, including data augmentation potential and the
introduction of structured variety, we juxtapose these benefits against
inherent limitations, such as the risk of overfitting and the constraints posed
by pre-defined templates. Drawing from empirical evaluations, we demonstrate
the impact of template-based synthetic data on the performance of modern
transformer models. We conclude by emphasizing the delicate balance required
between synthetic and real-world data, and the future trajectories of
integrating synthetic data in model training pipelines. The findings aim to
guide NLP practitioners in harnessing synthetic data's potential, ensuring
optimal model performance in diverse applications.
",8,8,0.6357754,overlap,
What are recent innovations in synthetic data generation for NLP?,"What are recent innovations in synthetic data generation for NLP? - Transformer models 
- Transfer learning 
- Data augmentation techniques 
- Privacy-preserving data generation 
- Adversarial training 
- Semi-supervised learning 
- Unsupervised learning",Machine Learning for Synthetic Data Generation: A Review,"  Machine learning heavily relies on data, but real-world applications often
encounter various data-related issues. These include data of poor quality,
insufficient data points leading to under-fitting of machine learning models,
and difficulties in data access due to concerns surrounding privacy, safety,
and regulations. In light of these challenges, the concept of synthetic data
generation emerges as a promising alternative that allows for data sharing and
utilization in ways that real-world data cannot facilitate. This paper presents
a comprehensive systematic review of existing studies that employ machine
learning models for the purpose of generating synthetic data. The review
encompasses various perspectives, starting with the applications of synthetic
data generation, spanning computer vision, speech, natural language processing,
healthcare, and business domains. Additionally, it explores different machine
learning methods, with particular emphasis on neural network architectures and
deep generative models. The paper also addresses the crucial aspects of privacy
and fairness concerns related to synthetic data generation. Furthermore, this
study identifies the challenges and opportunities prevalent in this emerging
field, shedding light on the potential avenues for future research. By delving
into the intricacies of synthetic data generation, this paper aims to
contribute to the advancement of knowledge and inspire further exploration in
synthetic data generation.
",6.666666667,,0.625636,expanded,
What are recent innovations in synthetic data generation for NLP?,"What are recent innovations in synthetic data generation for NLP? - Neural networks
- Generative models
- Transfer learning
- Domain adaptation
- Privacy preservation",Best Practices and Lessons Learned on Synthetic Data for Language Models,"  The success of AI models relies on the availability of large, diverse, and
high-quality datasets, which can be challenging to obtain due to data scarcity,
privacy concerns, and high costs. Synthetic data has emerged as a promising
solution by generating artificial data that mimics real-world patterns. This
paper provides an overview of synthetic data research, discussing its
applications, challenges, and future directions. We present empirical evidence
from prior art to demonstrate its effectiveness and highlight the importance of
ensuring its factuality, fidelity, and unbiasedness. We emphasize the need for
responsible use of synthetic data to build more powerful, inclusive, and
trustworthy language models.
",6.333333333,,0.69508004,expanded,
What are recent innovations in synthetic data generation for NLP?,"What are recent innovations in synthetic data generation for NLP? - Generative models
- Neural networks
- Text data augmentation
- Privacy-preserving methods
- Transfer learning","Data Generation using Large Language Models for Text Classification: An
  Empirical Case Study","  Using Large Language Models (LLMs) to generate synthetic data for model
training has become increasingly popular in recent years. While LLMs are
capable of producing realistic training data, the effectiveness of data
generation is influenced by various factors, including the choice of prompt,
task complexity, and the quality, quantity, and diversity of the generated
data. In this work, we focus exclusively on using synthetic data for text
classification tasks. Specifically, we use natural language understanding (NLU)
models trained on synthetic data to assess the quality of synthetic data from
different generation approaches. This work provides an empirical analysis of
the impact of these factors and offers recommendations for better data
generation practices.
",,8.333333333,0.59904724,feedback_adjusted,
What are recent innovations in synthetic data generation for NLP?,"What are recent innovations in synthetic data generation for NLP? - GANs (Generative Adversarial Networks)
- Transformer models
- Privacy-preserving data generation
- Multi-modal data synthesis",Better Synthetic Data by Retrieving and Transforming Existing Datasets,"  Despite recent advances in large language models, building dependable and
deployable NLP models typically requires abundant, high-quality training data.
However, task-specific data is not available for many use cases, and manually
curating task-specific data is labor-intensive. Recent work has studied
prompt-driven synthetic data generation using large language models, but these
generated datasets tend to lack complexity and diversity. To address these
limitations, we introduce a method, DataTune, to make better use of existing,
publicly available datasets to improve automatic dataset generation. DataTune
performs dataset transformation, enabling the repurposing of publicly available
datasets into a format that is directly aligned with the specific requirements
of target tasks. On a diverse set of language-based tasks from the BIG-Bench
benchmark, we find that finetuning language models via DataTune improves over a
few-shot prompting baseline by 49% and improves over existing methods that use
synthetic or retrieved training data by 34%. We find that dataset
transformation significantly increases the diversity and difficulty of
generated data on many tasks. We integrate DataTune into an open-source
repository to make this method accessible to the community:
https://github.com/neulab/prompt2model.
",,8,0.593405,feedback_adjusted,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - Clustering algorithms
- Novelty detection
- Outlier detection
- Machine learning techniques 
- Dimensionality reduction",A Bayesian Ensemble for Unsupervised Anomaly Detection,"  Methods for unsupervised anomaly detection suffer from the fact that the data
is unlabeled, making it difficult to assess the optimality of detection
algorithms. Ensemble learning has shown exceptional results in classification
and clustering problems, but has not seen as much research in the context of
outlier detection. Existing methods focus on combining output scores of
individual detectors, but this leads to outputs that are not easily
interpretable. In this paper, we introduce a theoretical foundation for
combining individual detectors with Bayesian classifier combination. Not only
are posterior distributions easily interpreted as the probability distribution
of anomalies, but bias, variance, and individual error rates of detectors are
all easily obtained. Performance on real-world datasets shows high accuracy
across varied types of time series data.
",9.333333333,9.333333333,0.62767255,overlap,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - Clustering algorithms
- Outlier detection
- Anomaly detection techniques
- Neural networks
- Machine learning models
- Data mining methods",Elsa: Energy-based learning for semi-supervised anomaly detection,"  Anomaly detection aims at identifying deviant instances from the normal data
distribution. Many advances have been made in the field, including the
innovative use of unsupervised contrastive learning. However, existing methods
generally assume clean training data and are limited when the data contain
unknown anomalies. This paper presents Elsa, a novel semi-supervised anomaly
detection approach that unifies the concept of energy-based models with
unsupervised contrastive learning. Elsa instills robustness against any data
contamination by a carefully designed fine-tuning step based on the new energy
function that forces the normal data to be divided into classes of prototypes.
Experiments on multiple contamination scenarios show the proposed model
achieves SOTA performance. Extensive analyses also verify the contribution of
each component in the proposed model. Beyond the experiments, we also offer a
theoretical interpretation of why contrastive learning alone cannot detect
anomalies under data contamination.
",9,,0.6672338,expanded,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - clustering algorithms
- anomaly detection techniques
- neural networks
- data mining techniques
- dimensionality reduction
- novelty detection algorithms
- outlier detection techniques","Transfer Learning from an Auxiliary Discriminative Task for Unsupervised
  Anomaly Detection","  Unsupervised anomaly detection from high dimensional data like mobility
networks is a challenging task. Study of different approaches of feature
engineering from such high dimensional data have been a focus of research in
this field. This study aims to investigate the transferability of features
learned by network classification to unsupervised anomaly detection. We propose
use of an auxiliary classification task to extract features from unlabelled
data by supervised learning, which can be used for unsupervised anomaly
detection. We validate this approach by designing experiments to detect
anomalies in mobility network data from New York and Taipei, and compare the
results to traditional unsupervised feature learning approaches of PCA and
autoencoders. We find that our feature learning approach yields best anomaly
detection performance for both datasets, outperforming other studied
approaches. This establishes the utility of this approach to feature
engineering, which can be applied to other problems of similar nature.
",9,,0.651183,expanded,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - Clustering
- Outlier detection
- Dimensionality reduction
- Machine learning algorithms
- Data mining techniques
- Healthcare applications
- Cybersecurity use cases",Anomaly Detection by Recombining Gated Unsupervised Experts,"  Anomaly detection has been considered under several extents of prior
knowledge. Unsupervised methods do not require any labelled data, whereas
semi-supervised methods leverage some known anomalies. Inspired by
mixture-of-experts models and the analysis of the hidden activations of neural
networks, we introduce a novel data-driven anomaly detection method called
ARGUE. Our method is not only applicable to unsupervised and semi-supervised
environments, but also profits from prior knowledge of self-supervised
settings. We designed ARGUE as a combination of dedicated expert networks,
which specialise on parts of the input data. For its final decision, ARGUE
fuses the distributed knowledge across the expert systems using a gated
mixture-of-experts architecture. Our evaluation motivates that prior knowledge
about the normal data distribution may be as valuable as known anomalies.
",9,,0.638342,expanded,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - Clustering algorithms
- Outlier detection
- Machine learning techniques
- Data mining applications
- Novelty detection techniques","Unsupervised anomaly detection algorithms on real-world data: how many
  do we need?","  In this study we evaluate 32 unsupervised anomaly detection algorithms on 52
real-world multivariate tabular datasets, performing the largest comparison of
unsupervised anomaly detection algorithms to date. On this collection of
datasets, the $k$-thNN (distance to the $k$-nearest neighbor) algorithm
significantly outperforms the most other algorithms. Visualizing and then
clustering the relative performance of the considered algorithms on all
datasets, we identify two clear clusters: one with ``local'' datasets, and
another with ``global'' datasets. ``Local'' anomalies occupy a region with low
density when compared to nearby samples, while ``global'' occupy an overall low
density region in the feature space. On the local datasets the $k$NN
($k$-nearest neighbor) algorithm comes out on top. On the global datasets, the
EIF (extended isolation forest) algorithm performs the best. Also taking into
consideration the algorithms' computational complexity, a toolbox with these
three unsupervised anomaly detection algorithms suffices for finding anomalies
in this representative collection of multivariate datasets. By providing access
to code and datasets, our study can be easily reproduced and extended with more
algorithms and/or datasets.
",9,,0.63992393,expanded,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - Clustering algorithms
- Novelty detection
- Outlier detection
- Machine learning applications
- Data mining techniques",Less is More: Building Selective Anomaly Ensembles,"  Ensemble techniques for classification and clustering have long proven
effective, yet anomaly ensembles have been barely studied. In this work, we tap
into this gap and propose a new ensemble approach for anomaly mining, with
application to event detection in temporal graphs. Our method aims to combine
results from heterogeneous detectors with varying outputs, and leverage the
evidence from multiple sources to yield better performance. However, trusting
all the results may deteriorate the overall ensemble accuracy, as some
detectors may fall short and provide inaccurate results depending on the nature
of the data in hand. This suggests that being selective in which results to
combine is vital in building effective ensembles---hence ""less is more"".
  In this paper we propose SELECT; an ensemble approach for anomaly mining that
employs novel techniques to automatically and systematically select the results
to assemble in a fully unsupervised fashion. We apply our method to event
detection in temporal graphs, where SELECT successfully utilizes five base
detectors and seven consensus methods under a unified ensemble framework. We
provide extensive quantitative evaluation of our approach on five real-world
datasets (four with ground truth), including Enron email communications, New
York Times news corpus, and World Cup 2014 Twitter news feed. Thanks to its
selection mechanism, SELECT yields superior performance compared to individual
detectors alone, the full ensemble (naively combining all results), and an
existing diversity-based ensemble.
",,6.666666667,0.4869981,feedback_adjusted,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - Clustering
- Outlier detection
- Machine learning algorithms
- Data mining techniques
- Dimensionality reduction
- Data preprocessing
- Novelty detection","Estimating the Contamination Factor's Distribution in Unsupervised
  Anomaly Detection","  Anomaly detection methods identify examples that do not follow the expected
behaviour, typically in an unsupervised fashion, by assigning real-valued
anomaly scores to the examples based on various heuristics. These scores need
to be transformed into actual predictions by thresholding, so that the
proportion of examples marked as anomalies equals the expected proportion of
anomalies, called contamination factor. Unfortunately, there are no good
methods for estimating the contamination factor itself. We address this need
from a Bayesian perspective, introducing a method for estimating the posterior
distribution of the contamination factor of a given unlabeled dataset. We
leverage on outputs of several anomaly detectors as a representation that
already captures the basic notion of anomalousness and estimate the
contamination using a specific mixture formulation. Empirically on 22 datasets,
we show that the estimated distribution is well-calibrated and that setting the
threshold using the posterior mean improves the anomaly detectors' performance
over several alternative methods. All code is publicly available for full
reproducibility.
",,9,0.6112598,feedback_adjusted,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - Clustering algorithms
- Outlier detection
- Dimensionality reduction
- Novelty detection
- Anomaly recognition",Open-Set Multivariate Time-Series Anomaly Detection,"  Numerous methods for time series anomaly detection (TSAD) methods have
emerged in recent years. Most existing methods are unsupervised and assume the
availability of normal training samples only, while few supervised methods have
shown superior performance by incorporating labeled anomalous samples in the
training phase. However, certain anomaly types are inherently challenging for
unsupervised methods to differentiate from normal data, while supervised
methods are constrained to detecting anomalies resembling those present during
training, failing to generalize to unseen anomaly classes. This paper is the
first attempt in providing a novel approach for the open-set TSAD problem, in
which a small number of labeled anomalies from a limited class of anomalies are
visible in the training phase, with the objective of detecting both seen and
unseen anomaly classes in the test phase. The proposed method, called
Multivariate Open-Set timeseries Anomaly Detection (MOSAD) consists of three
primary modules: a Feature Extractor to extract meaningful time-series
features; a Multi-head Network consisting of Generative-, Deviation-, and
Contrastive heads for capturing both seen and unseen anomaly classes; and an
Anomaly Scoring module leveraging the insights of the three heads to detect
anomalies. Extensive experiments on three real-world datasets consistently show
that our approach surpasses existing methods under various experimental
settings, thus establishing a new state-of-the-art performance in the TSAD
field.
",,7.333333333,0.5711642,feedback_adjusted,
How is unsupervised learning being used in anomaly detection?,"How is unsupervised learning being used in anomaly detection? - Clustering
- Outlier detection
- Anomaly identification
- Machine learning algorithms
- Feature representation",Learning Ensembles of Anomaly Detectors on Synthetic Data,"  The main aim of this work is to develop and implement an automatic anomaly
detection algorithm for meteorological time-series. To achieve this goal we
develop an approach to constructing an ensemble of anomaly detectors in
combination with adaptive threshold selection based on artificially generated
anomalies. We demonstrate the efficiency of the proposed method by integrating
the corresponding implementation into ``Minimax-94'' road weather information
system.
",,5.666666667,0.4804706,feedback_adjusted,
What are the latest approaches to causal inference in data science?,"What are the latest approaches to causal inference in data science? - Counterfactual inference
- Causal inference methods
- Propensity score matching
- Instrumental variables
- Mediation analysis 
- Bayesian causal inference","Data-Driven Causal Effect Estimation Based on Graphical Causal
  Modelling: A Survey","  In many fields of scientific research and real-world applications, unbiased
estimation of causal effects from non-experimental data is crucial for
understanding the mechanism underlying the data and for decision-making on
effective responses or interventions. A great deal of research has been
conducted to address this challenging problem from different angles. For
estimating causal effect in observational data, assumptions such as Markov
condition, faithfulness and causal sufficiency are always made. Under the
assumptions, full knowledge such as, a set of covariates or an underlying
causal graph, is typically required. A practical challenge is that in many
applications, no such full knowledge or only some partial knowledge is
available. In recent years, research has emerged to use search strategies based
on graphical causal modelling to discover useful knowledge from data for causal
effect estimation, with some mild assumptions, and has shown promise in
tackling the practical challenge. In this survey, we review these data-driven
methods on causal effect estimation for a single treatment with a single
outcome of interest and focus on the challenges faced by data-driven causal
effect estimation. We concisely summarise the basic concepts and theories that
are essential for data-driven causal effect estimation using graphical causal
modelling but are scattered around the literature. We identify and discuss the
challenges faced by data-driven causal effect estimation and characterise the
existing methods by their assumptions and the approaches to tackling the
challenges. We analyse the strengths and limitations of the different types of
methods and present an empirical evaluation to support the discussions. We hope
this review will motivate more researchers to design better data-driven methods
based on graphical causal modelling for the challenging problem of causal
effect estimation.
",8.333333333,8.666666667,0.63650924,overlap,
What are the latest approaches to causal inference in data science?,"What are the latest approaches to causal inference in data science? - Counterfactual reasoning
- Bayesian networks
- Propensity score matching
- Instrumental variables
- Granger causality
- Mediation analysis
- Treatment effects",A Survey of Learning Causality with Data: Problems and Methods,"  This work considers the question of how convenient access to copious data
impacts our ability to learn causal effects and relations. In what ways is
learning causality in the era of big data different from -- or the same as --
the traditional one? To answer this question, this survey provides a
comprehensive and structured review of both traditional and frontier methods in
learning causality and relations along with the connections between causality
and machine learning. This work points out on a case-by-case basis how big data
facilitates, complicates, or motivates each approach.
",8.333333333,8.666666667,0.637679338,overlap,
What are the latest approaches to causal inference in data science?,"What are the latest approaches to causal inference in data science? - Machine learning
- Counterfactual reasoning
- Treatment effect estimation
- Propensity score matching
- Instrumental variables
- Structural equation modeling",A Survey on Causal Discovery: Theory and Practice,"  Understanding the laws that govern a phenomenon is the core of scientific
progress. This is especially true when the goal is to model the interplay
between different aspects in a causal fashion. Indeed, causal inference itself
is specifically designed to quantify the underlying relationships that connect
a cause to its effect. Causal discovery is a branch of the broader field of
causality in which causal graphs is recovered from data (whenever possible),
enabling the identification and estimation of causal effects. In this paper, we
explore recent advancements in a unified manner, provide a consistent overview
of existing algorithms developed under different settings, report useful tools
and data, present real-world applications to understand why and how these
methods can be fruitfully exploited.
",9,8.666666667,0.695041418,overlap,
What are the latest approaches to causal inference in data science?,"What are the latest approaches to causal inference in data science? - Bayesian networks
- Instrumental variables
- Propensity scores
- Difference-in-differences
- Granger causality
- Counterfactual analysis
- Treatment effects
- Directed acyclic graphs (DAGs)",A Survey on Causal Discovery Methods for I.I.D. and Time Series Data,"  The ability to understand causality from data is one of the major milestones
of human-level intelligence. Causal Discovery (CD) algorithms can identify the
cause-effect relationships among the variables of a system from related
observational data with certain assumptions. Over the years, several methods
have been developed primarily based on the statistical properties of data to
uncover the underlying causal mechanism. In this study, we present an extensive
discussion on the methods designed to perform causal discovery from both
independent and identically distributed (I.I.D.) data and time series data. For
this purpose, we first introduce the common terminologies used in causal
discovery literature and then provide a comprehensive discussion of the
algorithms designed to identify causal relations in different settings. We
further discuss some of the benchmark datasets available for evaluating the
algorithmic performance, off-the-shelf tools or software packages to perform
causal discovery readily, and the common metrics used to evaluate these
methods. We also evaluate some widely used causal discovery algorithms on
multiple benchmark datasets and compare their performances. Finally, we
conclude by discussing the research challenges and the applications of causal
discovery algorithms in multiple areas of interest.
",9,8.333333333,0.679723024,overlap,
What are the latest approaches to causal inference in data science?,"What are the latest approaches to causal inference in data science? - Machine learning
- Treatment effect
- Counterfactual reasoning
- Propensity score
- Observational studies
- Granger causality",A Primer on Causality in Data Science,"  Many questions in Data Science are fundamentally causal in that our objective
is to learn the effect of some exposure, randomized or not, on an outcome
interest. Even studies that are seemingly non-causal, such as those with the
goal of prediction or prevalence estimation, have causal elements, including
differential censoring or measurement. As a result, we, as Data Scientists,
need to consider the underlying causal mechanisms that gave rise to the data,
rather than simply the pattern or association observed in those data. In this
work, we review the 'Causal Roadmap' of Petersen and van der Laan (2014) to
provide an introduction to some key concepts in causal inference. Similar to
other causal frameworks, the steps of the Roadmap include clearly stating the
scientific question, defining of the causal model, translating the scientific
question into a causal parameter, assessing the assumptions needed to express
the causal parameter as a statistical estimand, implementation of statistical
estimators including parametric and semi-parametric methods, and interpretation
of our findings. We believe that using such a framework in Data Science will
help to ensure that our statistical analyses are guided by the scientific
question driving our research, while avoiding over-interpreting our results. We
focus on the effect of an exposure occurring at a single time point and
highlight the use of targeted maximum likelihood estimation (TMLE) with Super
Learner.
",6.666666667,,0.673508465,expanded,
